seed, winning bundle id, winning bundle utility
390351,109,1148
390351,163,1374
390351,195,1709
390351,195,1709
390351,195,1709
390351,280,2128
390351,280,2128
390351,280,2128
390351,365,2388
390351,365,2388
390351,365,2388
390351,477,2424
390351,477,2424
390351,551,2512
390351,551,2512
390351,551,2512
390351,551,2512
390351,551,2512
390351,709,2606
390351,709,2606
390351,709,2606
390351,709,2606
390351,709,2606
390351,709,2606
390351,709,2606
390351,948,2713
390351,958,2713
390351,958,2713
390351,958,2713
390351,958,2713
390351,958,2713
390351,958,2713
390351,958,2713
390351,958,2713
390351,958,2713
390351,958,2713
390351,1305,2713
390351,1305,2713
390351,1305,2713
390351,1410,2713
390351,1410,2713
