seed, winning bundle id, winning bundle utility
729772,97,1293
729772,97,1293
729772,185,1437
729772,231,1699
729772,231,1699
729772,297,2220
729772,297,2220
729772,358,2495
729772,358,2495
729772,358,2495
729772,358,2495
729772,358,2495
729772,358,2495
729772,358,2495
729772,570,2508
729772,570,2508
729772,570,2508
729772,570,2508
729772,570,2508
729772,734,2713
729772,783,2713
729772,783,2713
729772,783,2713
729772,783,2713
729772,783,2713
729772,783,2713
729772,969,2713
729772,969,2713
729772,1036,2713
729772,1036,2713
729772,1036,2713
729772,1132,2713
729772,1132,2713
