seed, winning bundle id, winning bundle utility
690977,13,1072
690977,155,1494
690977,155,1494
690977,202,1554
690977,232,1573
690977,296,1587
690977,298,1907
690977,333,1977
690977,380,2108
690977,380,2108
690977,440,2242
690977,440,2242
690977,440,2242
690977,540,2522
690977,540,2522
690977,540,2522
690977,540,2522
690977,540,2522
690977,540,2522
690977,735,2551
690977,735,2551
690977,735,2551
690977,858,2610
690977,867,2713
690977,867,2713
690977,867,2713
690977,867,2713
690977,867,2713
690977,867,2713
690977,867,2713
690977,867,2713
690977,867,2713
690977,867,2713
690977,1219,2713
690977,1219,2713
690977,1219,2713
690977,1219,2713
690977,1219,2713
690977,1219,2713
690977,1219,2713
690977,1447,2713
690977,1447,2713
690977,1447,2713
690977,1527,2713
690977,1527,2713
