seed, winning bundle id, winning bundle utility
658621,43,1356
658621,146,1396
658621,167,1475
658621,218,1636
658621,257,2028
658621,257,2028
658621,257,2028
658621,257,2028
658621,257,2028
658621,413,2534
658621,413,2534
658621,413,2534
658621,413,2534
658621,413,2534
658621,413,2534
658621,601,2614
658621,601,2614
658621,601,2614
658621,601,2614
658621,601,2614
658621,601,2614
658621,601,2614
658621,601,2614
658621,601,2614
658621,919,2713
658621,919,2713
658621,919,2713
658621,919,2713
658621,1051,2713
658621,1051,2713
658621,1099,2713
658621,1099,2713
658621,1099,2713
658621,1099,2713
658621,1099,2713
658621,1270,2713
658621,1311,2713
658621,1311,2713
658621,1311,2713
658621,1311,2713
658621,1447,2713
658621,1447,2713
658621,1447,2713
